title_en, title_cn, day_num, start_time, end_time
Mysore,自由练习,0,07:00,09:00,
Shoulder / neck therapy,肩颈理疗,0,10:20,11:35,
Fine Basic,梵音基础,0,11:50,13:05,
Ashtanga Beginner,Ashtanga 基础,0,12:00,13:15,
Youthful Backbend Vinyasa,年轻态后弯流,0,13:30,14:45,
Shoulder / neck therapy,肩颈理疗,0,15:00,16:15,
Fine Basic,梵音基础,0,16:00,17:15,
Shoulder / neck therapy,肩颈理疗,0,17:00,18:15,
Hip  shoulder opening Vinyasa,开肩开胯流,0,18:00,19:15,
Ashtanga Beginner,Ashtanga 基础,0,18:45,20:00,
Shoulder / neck therapy,肩颈理疗,0,19:30,20:45,
Mysore,自由练习,1,07:00,09:00,
Hip  shoulder opening Vinyasa,开肩开胯流,1,10:20,11:35,
Yin Yoga meditation,内观阴瑜伽,1,11:50,13:05,
Junior Pilates Sculpt,初级普拉提塑形,1,12:15,13:15,
Shoulder / neck therapy,肩颈理疗,1,13:30,14:45,
None,筋膜放松（健身特色课）,1,14:00,15:00,
Ashtanga Beginner,Ashtanga 基础,1,15:00,16:15,
Youthful Backbend Vinyasa,年轻态后弯流,1,16:00,17:15,
Pilates (private class),普拉提核心床私教,1,17:31,18:31,
Shoulder / neck therapy,肩颈理疗,1,18:00,19:15,
Ashtanga Led,Ashtanga 领课,1,18:15,20:00,
Private class,常规私教课,1,18:30,19:30,
Pilates Reformer,普拉提核心床（小班课）,1,18:45,19:45,
Yin Yoga meditation,内观阴瑜伽,1,19:30,20:45,
Private class,常规私教课,1,19:31,20:31,
Private class,常规私教课,1,20:32,21:32,
Mysore,自由练习,2,07:00,09:00,
Pilates Reformer,普拉提核心床（小班课）,2,10:00,11:00,
Core Yoga,腰腹塑形瑜伽,2,10:20,11:20,
Hip  shoulder opening Vinyasa,开肩开胯流,2,11:50,13:05,
cardio sculpt,明星有氧塑形,2,12:00,13:00,
Shoulder / neck therapy,肩颈理疗,2,13:20,14:35,
Fine Basic,梵音基础,2,13:30,14:45,
Fine Barre,芭蕾塑形,2,15:00,16:00,
Youthful Backbend Vinyasa,年轻态后弯流,2,15:00,16:15,
Hip  shoulder opening Vinyasa,开肩开胯流,2,16:15,17:15,
FineYoga meditation,梵音瑜伽冥想,2,16:45,17:45,
Private experience class,私教体验课,2,17:20,18:20,
Junior Pilates Sculpt,初级普拉提塑形,2,17:30,18:30,
Ashtanga Basic,Ashtanga 中级,2,18:45,20:00,
Shoulder / neck therapy,肩颈理疗,2,19:00,20:15,
Mysore,自由练习,3,07:00,09:00,
Shoulder / neck therapy,肩颈理疗,3,10:20,11:35,
Fine Basic,梵音基础,3,11:50,13:05,
Fine Barre,芭蕾塑形,3,13:00,14:00,
Youthful Backbend Vinyasa,年轻态后弯流,3,13:30,14:45,
Ashtanga Beginner,Ashtanga 基础,3,14:15,15:30,
Shoulder / neck therapy,肩颈理疗,3,15:00,16:15,
Fine Basic,梵音基础,3,16:00,17:15,
Yin Yoga meditation,内观阴瑜伽,3,17:00,18:15,
Hip  shoulder opening Vinyasa,开肩开胯流,3,18:00,19:15,
Private class,常规私教课,3,18:30,19:30,
Ashtanga Led,Ashtanga 领课,3,18:30,20:15,
Fine Basic,梵音基础,3,19:30,20:45,
Mysore,自由练习,4,07:00,09:00,
Hip  shoulder opening Vinyasa,开肩开胯流,4,10:20,11:35,
cardio sculpt,明星有氧塑形,4,12:00,13:00,
Yin Yoga meditation,内观阴瑜伽,4,12:00,13:15,
Ashtanga Basic,Ashtanga 中级,4,13:20,14:35,
Fine Basic,梵音基础,4,13:30,14:45,
Youthful Backbend Vinyasa,年轻态后弯流,4,15:00,16:15,
Dong Dong back knee therapy,东东理疗—腰膝,4,15:30,16:45,
Safe vinyasa inversions,安全倒立流,4,17:00,18:15,
Shoulder / neck therapy,肩颈理疗,4,17:30,18:45,
Ashtanga Beginner,Ashtanga 基础,4,18:30,20:15,
Fine Basic,梵音基础,4,19:00,20:15,
Mysore,自由练习,5,09:00,11:00,
Youthful Backbend Vinyasa,年轻态后弯流,5,10:20,10:35,
Safe vinyasa inversions,安全倒立流,5,11:50,13:05,
Junior Pilates Sculpt,初级普拉提塑形,5,12:00,13:00,
Yin Yoga meditation,内观阴瑜伽,5,13:20,14:35,
Pre-natal,孕产瑜伽,5,14:00,15:00,
Ashtanga Led,Ashtanga 领课,5,15:00,16:45,
Youthful Backbend Vinyasa,年轻态后弯流,5,15:15,16:30,
Shoulder / neck therapy,肩颈理疗,5,17:00,18:15,
Fine Basic,梵音基础,5,17:00,18:15,
Pilates Reformer,普拉提核心床（小班课）,5,18:30,19:30,
Hot,热瑜伽,5,18:40,19:40,
Yin Yoga meditation,内观阴瑜伽,5,18:45,20:00,
Ashtanga Led,Ashtanga 领课,6,09:00,10:45,
Pilates (private class),普拉提核心床私教,6,10:15,11:15,
Yoga Sculpt,全面塑形瑜伽,6,10:50,11:50,
Pilates Reformer,普拉提核心床（小班课）,6,11:30,12:30,
Ashtanga Beginner,Ashtanga 基础,6,12:00,13:15,
Hot,热瑜伽,6,12:00,13:00,
Fine Basic,梵音基础,6,13:20,14:35,
Youthful Backbend Vinyasa,年轻态后弯流,6,13:30,14:45,
Youthful Backbend Vinyasa,年轻态后弯流,6,15:00,16:15,
Hip  shoulder opening Vinyasa,开肩开胯流,6,15:30,16:45,
Shoulder / neck therapy,肩颈理疗,6,16:30,17:45,
Yin Yoga meditation,内观阴瑜伽,6,17:00,18:15,
Core Yoga,腰腹塑形瑜伽,6,18:30,19:30,
Ashtanga Led,Ashtanga 领课,6,18:30,20:00,
