title_en, title_cn, day_num, start_time, end_time
Fine Basic,梵音基础,2,11:15,12:30,
Pilates (private class),普拉提核心床私教,2,11:45,12:45,
Safe vinyasa inversions,安全倒立流,2,11:45,13:00,
Pilates Reformer,普拉提核心床（小班课）,2,11:50,12:50,
Private class,常规私教课,2,12:00,13:00,
Shoulder / neck therapy,肩颈理疗,2,12:15,13:30,
Private class,常规私教课,2,12:50,13:50,
Private class,常规私教课,2,13:00,14:00,
Private class,常规私教课,2,13:25,14:25,
Private class,常规私教课,2,13:30,14:30,
Pilates (private class),普拉提核心床私教,2,13:30,14:30,
Fine Barre,芭蕾塑形,2,14:00,15:00,
Post-natal,孕产私教,2,14:15,15:15,
Private class,常规私教课,2,14:30,15:30,
Hot,热瑜伽,2,15:00,16:00,
Pilates (private class),普拉提核心床私教,2,15:40,16:40,
Pilates (private class),普拉提核心床私教,2,16:50,17:50,
Pilates (private class),普拉提核心床私教,2,17:15,18:15,
Intermediate Pilates Sculpt,中级普拉提塑形,2,17:45,18:45,
Private experience class,私教体验课,2,18:00,19:00,
Private experience class,私教体验课,2,18:00,19:00,
Ashtanga Beginner,Ashtanga 基础,2,18:00,19:15,
Private class,常规私教课,2,18:00,19:00,
Private class,常规私教课,2,18:00,19:00,
Private class,常规私教课,2,18:00,19:00,
Private class,常规私教课,2,18:20,19:20,
Yoga Sculpt,全面塑形瑜伽,2,18:30,19:30,
Private class,常规私教课,2,19:05,20:05,
Private class,常规私教课,2,19:05,20:05,
Pilates (private class),普拉提核心床私教,2,19:10,20:10,
Private class,常规私教课,2,19:10,20:10,
Ashtanga Basic,Ashtanga 中级,2,19:15,20:30,
Pilates Reformer,普拉提核心床（小班课）,2,19:30,20:30,
Private class,常规私教课,2,19:30,20:30,
Fine Basic,梵音基础,2,19:45,21:00,
Yin Yoga meditation,内观阴瑜伽,2,20:15,21:30,
Private class (for two participants),双人私教,2,20:30,21:30,
Mysore,自由练习,3,07:00,09:00,
Yin Yoga meditation,内观阴瑜伽,3,07:30,08:45,
Pilates (private class),普拉提核心床私教,3,08:30,09:30,
Private class,常规私教课,3,09:10,10:10,
FineYoga meditation,梵音瑜伽冥想,3,09:30,10:45,
Private class,常规私教课,3,09:30,10:30,
Shoulder / neck therapy,肩颈理疗,3,10:00,11:15,
Ashtanga Basic,Ashtanga 中级,3,11:15,12:30,
None,普拉提私教体验课,3,11:30,12:30,
Fine Basic,梵音基础,3,11:45,13:00,
Private class,常规私教课,3,12:00,13:00,
Private class,常规私教课,3,12:15,13:15,
Ashtanga Beginner,Ashtanga 基础,3,12:15,13:30,
Fine Barre,芭蕾塑形,3,13:00,14:00,
Private class,常规私教课,3,13:30,14:30,
Private class,常规私教课,3,13:30,14:30,
Private class,常规私教课,3,13:45,14:45,
Private experience class,私教体验课,3,14:00,15:00,
Private class,常规私教课,3,14:10,15:10,
cardio sculpt,明星有氧塑形,3,14:30,15:30,
Post-natal,孕产私教,3,15:00,16:00,
Shoulder / neck therapy,肩颈理疗,3,15:00,16:15,
Private class,常规私教课,3,15:15,16:15,
Pilates (private class),普拉提核心床私教,3,15:20,16:20,
Private class,常规私教课,3,16:00,17:00,
Private class,常规私教课,3,16:30,17:30,
Private class,常规私教课,3,16:45,17:45,
None,普拉提私教体验课,3,17:20,18:20,
Private class,常规私教课,3,17:30,18:30,
Private class,常规私教课,3,17:40,18:40,
Hip  shoulder opening Vinyasa,开肩开胯流,3,17:45,19:00,
Hot,热瑜伽,3,18:00,19:00,
Private class,常规私教课,3,18:30,19:30,
Private class,常规私教课,3,18:30,19:30,
Ashtanga Beginner,Ashtanga 基础,3,18:30,19:45,
Private experience class,私教体验课,3,18:50,19:50,
Private class,常规私教课,3,19:00,20:00,
Private class,常规私教课,3,19:15,20:15,
Fine Basic,梵音基础,3,19:15,20:30,
Junior Pilates Sculpt,初级普拉提塑形,3,19:30,20:30,
Private class,常规私教课,3,19:40,20:40,
Pilates (private class),普拉提核心床私教,3,19:45,20:45,
Shoulder / neck therapy,肩颈理疗,3,20:00,21:15,
Private class,常规私教课,3,20:45,21:45,
Private class,常规私教课,4,07:00,08:00,
Mysore,自由练习,4,07:00,09:00,
Private class,常规私教课,4,08:01,09:01,
Private class,常规私教课,4,09:15,10:15,
Shoulder / neck therapy,肩颈理疗,4,09:30,10:45,
Private class,常规私教课,4,10:30,11:30,
Private experience class,私教体验课,4,10:30,11:30,
Core Yoga,腰腹塑形瑜伽,4,11:00,12:00,
Hip  shoulder opening Vinyasa,开肩开胯流,4,11:15,12:30,
Private class,常规私教课,4,11:35,12:25,
Private class,常规私教课,4,11:45,12:45,
Youthful Backbend Vinyasa,年轻态后弯流,4,11:45,13:00,
Fine Basic,梵音基础,4,12:15,13:30,
Pilates Reformer,普拉提核心床（小班课）,4,12:30,13:30,
Private class,常规私教课,4,12:30,13:30,
Private class,常规私教课,4,12:50,13:50,
Pilates (private class),普拉提核心床私教,4,14:00,15:00,
Ashtanga Basic,Ashtanga 中级,4,14:30,15:45,
Hot,热瑜伽,4,15:00,16:00,
Private class,常规私教课,4,15:10,16:10,
Pilates (private class),普拉提核心床私教,4,16:20,17:20,
Pilates (private class),普拉提核心床私教,4,16:50,17:50,
Pilates (private class),普拉提核心床私教,4,17:30,18:30,
Private class,常规私教课,4,17:30,18:30,
cardio sculpt,明星有氧塑形,4,17:45,18:45,
Private class,常规私教课,4,18:00,19:00,
Junior Pilates Sculpt,初级普拉提塑形,4,18:00,19:00,
Private class,常规私教课,4,18:00,18:59,
Private class,常规私教课,4,18:30,19:30,
Ashtanga Beginner,Ashtanga 基础,4,18:30,19:45,
Pilates (private class),普拉提核心床私教,4,18:40,19:40,
Private class,常规私教课,4,19:00,20:00,
FineYoga meditation,梵音瑜伽冥想,4,19:15,20:30,
Pilates (private class),普拉提核心床私教,4,19:30,20:30,
Pilates Reformer,普拉提核心床（小班课）,4,19:30,20:30,
Private class,常规私教课,4,19:35,20:35,
Fine Basic,梵音基础,4,19:45,21:00,
Pilates (private class),普拉提核心床私教,4,20:00,21:00,
Shoulder / neck therapy,肩颈理疗,4,20:15,21:30,
Private class (for two participants),双人私教,4,20:35,21:35,
Private class,常规私教课,5,08:30,09:30,
Pilates (private class),普拉提核心床私教,5,09:00,10:00,
Ashtanga Led,Ashtanga 领课,5,09:00,10:30,
Private class,常规私教课,5,10:30,11:30,
Shoulder / neck therapy,肩颈理疗,5,10:45,12:00,
Private class,常规私教课,5,11:00,12:00,
Hot,热瑜伽,5,11:45,12:45,
Pilates Reformer,普拉提核心床（小班课）,5,11:50,12:50,
Private class,常规私教课,5,12:40,13:40,
Private class,常规私教课,5,13:00,14:00,
Private class,常规私教课,5,13:40,14:40,
Pilates (private class),普拉提核心床私教,5,13:45,14:45,
Pre-natal,孕产瑜伽,5,14:00,15:00,
Private experience class,私教体验课,5,14:00,15:00,
Private class,常规私教课,5,14:30,15:30,
Hip  shoulder opening Vinyasa,开肩开胯流,5,14:30,15:45,
Ashtanga Basic,Ashtanga 中级,5,15:00,16:15,
Pilates (private class),普拉提核心床私教,5,15:15,16:15,
Private class,常规私教课,5,15:40,16:40,
Private class,常规私教课,5,16:10,17:10,
Family Yoga,亲子瑜伽,5,17:45,18:45,
Private class,常规私教课,5,18:00,19:00,
Ashtanga Beginner,Ashtanga 基础,5,18:00,19:15,
Fine Basic,梵音基础,5,18:30,19:45,
Private class,常规私教课,5,19:10,20:10,
Dong Dong back knee therapy,东东理疗—腰膝,5,19:15,20:30,
Intermediate Pilates Sculpt,中级普拉提塑形,5,19:30,20:30,
Yin Yoga meditation,内观阴瑜伽,5,20:00,21:15,
Private class,常规私教课,6,08:30,09:30,
Private class,常规私教课,6,09:00,10:00,
Ashtanga Beginner,Ashtanga 基础,6,09:00,10:15,
Private class,常规私教课,6,09:29,10:29,
Private class,常规私教课,6,10:30,11:30,
Hip  shoulder opening Vinyasa,开肩开胯流,6,10:30,11:45,
Private class,常规私教课,6,11:00,12:00,
Shoulder / neck therapy,肩颈理疗,6,11:45,13:00,
Junior Pilates Sculpt,初级普拉提塑形,6,11:45,12:45,
Fine Basic,梵音基础,6,12:15,13:30,
Pilates (private class),普拉提核心床私教,6,12:30,13:30,
Private experience class,私教体验课,6,12:30,13:30,
Private class,常规私教课,6,13:30,14:30,
Private class,常规私教课,6,14:00,15:00,
Safe vinyasa inversions,安全倒立流,6,14:30,15:45,
Fine Barre,芭蕾塑形,6,15:00,16:00,
Shoulder / neck therapy,肩颈理疗,6,17:45,19:00,
Yoga Sculpt,全面塑形瑜伽,6,18:00,19:00,
Ashtanga Beginner,Ashtanga 基础,6,18:30,19:45,
Dong Dong back knee therapy,东东理疗—腰膝,6,19:15,20:30,
Pilates Reformer,普拉提核心床（小班课）,6,19:30,20:30,
Yin Yoga meditation,内观阴瑜伽,6,19:45,21:00,
