title_en, title_cn, day_num, start_time, end_time
Mysore,自由练习,0,07:00,09:00,
Private class,常规私教课,0,08:01,09:01,
Private class,常规私教课,0,09:15,10:15,
Pilates (private class),普拉提核心床私教,0,09:30,10:30,
Junior Pilates Sculpt,初级普拉提塑形,0,09:30,10:45,
Pilates (private class),普拉提核心床私教,0,10:00,11:00,
FineYoga meditation,梵音瑜伽冥想,0,10:30,11:45,
Ashtanga Basic,Ashtanga 中级,0,11:15,12:30,
Private class,常规私教课,0,11:15,12:15,
Fine Basic,梵音基础,0,11:45,13:00,
Pilates Reformer,普拉提核心床（小班课）,0,11:50,12:50,
Private class,常规私教课,0,12:00,13:00,
Yoga Sculpt,全面塑形瑜伽,0,12:00,13:00,
Pilates (private class),普拉提核心床私教,0,12:30,13:30,
Private class,常规私教课,0,12:40,13:40,
Private class,常规私教课,0,13:30,14:30,
None,普拉提私教体验课,0,13:50,14:50,
Private class,常规私教课,0,14:00,15:00,
Private class,常规私教课,0,14:15,15:15,
Shoulder / neck therapy,肩颈理疗,0,14:30,15:45,
Junior Pilates Sculpt,初级普拉提塑形,0,15:00,16:00,
Private class,常规私教课,0,15:10,16:10,
Private class,常规私教课,0,15:30,16:30,
Private experience class,私教体验课,0,16:00,17:00,
Private class,常规私教课,0,16:10,17:10,
Pilates (private class),普拉提核心床私教,0,16:20,17:20,
Private experience class,私教体验课,0,16:30,17:30,
Private class,常规私教课,0,17:30,18:30,
Fine Basic,梵音基础,0,17:45,19:00,
Shoulder / neck therapy,肩颈理疗,0,18:00,19:15,
Pilates (private class),普拉提核心床私教,0,18:00,19:00,
Private class,常规私教课,0,18:30,19:30,
Core Yoga,腰腹塑形瑜伽,0,18:30,19:30,
Pilates (private class),普拉提核心床私教,0,18:40,19:40,
Ashtanga Beginner,Ashtanga 基础,0,19:15,20:30,
Private class,常规私教课,0,19:30,20:30,
Pilates Reformer,普拉提核心床（小班课）,0,19:30,20:30,
Private class,常规私教课,0,19:40,20:40,
Hip  shoulder opening Vinyasa,开肩开胯流,0,19:45,21:00,
Mysore,自由练习,1,07:00,09:00,
FineYoga meditation,梵音瑜伽冥想,1,07:30,08:45,
Pilates (private class),普拉提核心床私教,1,08:15,09:15,
Pilates Reformer,普拉提核心床（小班课）,1,09:15,10:10,
Safe vinyasa inversions,安全倒立流,1,09:30,10:45,
Pilates (private class),普拉提核心床私教,1,09:30,10:30,
Junior Pilates Sculpt,初级普拉提塑形,1,10:15,11:15,
Shoulder / neck therapy,肩颈理疗,1,11:45,13:00,
Fine Basic,梵音基础,1,13:00,14:15,
Family Yoga,亲子瑜伽,1,14:00,15:00,
Private class,常规私教课,1,14:00,15:00,
Pre-natal,孕产瑜伽,1,15:00,16:00,
Private class,常规私教课,1,15:15,16:15,
Pilates (private class),普拉提核心床私教,1,16:45,17:45,
Private class,常规私教课,1,17:30,18:30,
Private class,常规私教课,1,18:00,19:00,
Private experience class,私教体验课,1,18:00,19:00,
Hot,热瑜伽,1,18:00,19:00,
Ashtanga Beginner,Ashtanga 基础,1,18:00,19:15,
Private class,常规私教课,1,18:20,19:20,
Pilates (private class),普拉提核心床私教,1,18:29,19:29,
Fine Basic,梵音基础,1,18:30,19:45,
Private class,常规私教课,1,19:10,20:10,
Pilates (private class),普拉提核心床私教,1,19:15,20:15,
Private class,常规私教课,1,19:15,20:15,
cardio sculpt,明星有氧塑形,1,19:15,20:15,
Pilates (private class),普拉提核心床私教,1,19:30,20:30,
Private class,常规私教课,1,19:40,20:40,
Ashtanga Basic,Ashtanga 中级,1,19:45,21:00,
Private class,常规私教课,1,20:00,21:00,
Yin Yoga meditation,内观阴瑜伽,1,20:15,21:30,
Private class,常规私教课,1,20:20,21:20,
Private class (for two participants),双人私教,1,20:31,21:31,
Private class,常规私教课,2,07:00,08:00,
Mysore,自由练习,2,07:00,09:00,
Pilates (private class),普拉提核心床私教,2,08:00,09:00,
Private class,常规私教课,2,08:01,09:01,
Private class,常规私教课,2,09:15,10:15,
Hip  shoulder opening Vinyasa,开肩开胯流,2,09:30,10:45,
Private class,常规私教课,2,09:30,10:30,
FineYoga meditation,梵音瑜伽冥想,2,10:30,11:45,
