title_en, title_cn, day_num, start_time, end_time
Mysore,自由练习,0,07:00,09:00,
Private class,常规私教课,0,10:00,11:00,
Private class,常规私教课,0,11:20,12:20,
Ashtanga Beginner,Ashtanga 基础,0,12:00,13:15,
Private class,常规私教课,0,12:30,13:30,
Shoulder / neck therapy,肩颈理疗,0,15:30,16:45,
Junior Pilates Sculpt,初级普拉提塑形,0,17:00,18:00,
Shoulder & SpineVinyasa,肩颈脊椎流,0,17:30,18:45,
Ashtanga Basic,Ashtanga 中级,0,18:00,19:15,
FineYoga meditation,梵音瑜伽冥想,0,19:00,20:15,
Fine Basic,梵音基础,0,19:30,20:45,
Pilates (private class),普拉提核心床私教,0,20:00,21:00,
Yin Yoga meditation,内观阴瑜伽,0,20:00,21:15,
Ashtanga Beginner,Ashtanga 基础,1,07:00,08:15,
Fine Basic,梵音基础,1,10:00,11:15,
Shoulder / neck therapy,肩颈理疗,1,12:00,13:15,
Corporate on-site Class,上门企业课,1,12:15,13:15,
Private class,常规私教课,1,14:00,15:00,
Junior Pilates Sculpt,初级普拉提塑形,1,15:30,16:30,
Yin Yoga meditation,内观阴瑜伽,1,17:00,18:15,
Fine Basic,梵音基础,1,17:30,18:45,
Shoulder / neck therapy,肩颈理疗,1,18:00,19:15,
Private class,常规私教课,1,18:20,19:20,
Hip  shoulder opening Vinyasa,开肩开胯流,1,18:30,19:45,
Safe vinyasa inversions,安全倒立流,1,19:00,20:15,
Junior Pilates Sculpt,初级普拉提塑形,1,19:30,20:30,
Yoga Sculpt,全面塑形瑜伽,1,20:00,21:00,
Private class,常规私教课,1,20:00,21:00,
Pilates (private class),普拉提核心床私教,1,20:30,21:30,
Mysore,自由练习,2,07:00,09:00,
Fine Basic,梵音基础,2,08:30,09:45,
Hip  shoulder opening Vinyasa,开肩开胯流,2,12:00,13:15,
Yoga Sculpt,全面塑形瑜伽,2,15:30,16:30,
Pilates (private class),普拉提核心床私教,2,15:45,16:45,
Private class,常规私教课,2,17:00,18:00,
Private class,常规私教课,2,17:00,18:00,
Dong Dong back knee therapy,东东理疗—腰膝,2,17:00,18:15,
Ashtanga Beginner,Ashtanga 基础,2,17:30,18:45,
Private class,常规私教课,2,18:00,19:00,
Core Yoga,腰腹塑形瑜伽,2,18:00,19:00,
Fine Basic,梵音基础,2,18:30,19:45,
Hot,热瑜伽,2,19:00,20:00,
Shoulder & SpineVinyasa,肩颈脊椎流,2,19:30,20:45,
Private class,常规私教课,2,19:30,20:30,
Shoulder / neck therapy,肩颈理疗,2,20:05,21:20,
Mysore,自由练习,3,07:00,09:00,
Junior Pilates Sculpt,初级普拉提塑形,3,10:00,11:00,
Pilates (private class),普拉提核心床私教,3,10:40,11:40,
Yin Yoga meditation,内观阴瑜伽,3,12:00,13:15,
Dong Dong back knee therapy,东东理疗—腰膝,3,15:30,16:45,
Private class,常规私教课,3,16:00,17:00,
Yoga Sculpt,全面塑形瑜伽,3,17:00,18:00,
Hip  shoulder opening Vinyasa,开肩开胯流,3,17:30,18:45,
Junior Pilates Sculpt,初级普拉提塑形,3,18:00,19:00,
Ashtanga Basic,Ashtanga 中级,3,18:30,19:45,
Shoulder / neck therapy,肩颈理疗,3,19:00,20:15,
cardio sculpt,明星有氧塑形,3,19:30,20:30,
Private class,常规私教课,3,19:45,20:45,
Fine Basic,梵音基础,3,20:00,21:15,
Mysore,自由练习,4,07:00,09:00,
Private class,常规私教课,4,07:30,08:30,
Shoulder / neck therapy,肩颈理疗,4,12:00,13:15,
Fine Basic,梵音基础,4,15:30,16:45,
Yoga Sculpt,全面塑形瑜伽,4,17:30,18:30,
Private class,常规私教课,4,18:00,19:00,
Hip  shoulder opening Vinyasa,开肩开胯流,4,18:00,19:15,
Junior Pilates Sculpt,初级普拉提塑形,4,18:30,19:30,
Ashtanga Beginner,Ashtanga 基础,4,19:00,20:15,
Private class,常规私教课,4,19:00,20:00,
Yin Yoga meditation,内观阴瑜伽,4,19:30,20:45,
Shoulder & SpineVinyasa,肩颈脊椎流,4,20:00,21:15,
Shoulder & SpineVinyasa,肩颈脊椎流,5,08:30,09:45,
Safe vinyasa inversions,安全倒立流,5,10:00,11:15,
Private class,常规私教课,5,10:00,11:00,
Fine Basic,梵音基础,5,12:00,13:15,
Private class,常规私教课,5,14:30,15:30,
Private class,常规私教课,5,15:00,16:00,
Hip  shoulder opening Vinyasa,开肩开胯流,5,15:30,16:45,
Ashtanga Beginner,Ashtanga 基础,5,17:00,18:15,
Fine Barre,芭蕾塑形,5,17:30,18:30,
Shoulder / neck therapy,肩颈理疗,5,18:00,19:15,
Yin Yoga meditation,内观阴瑜伽,5,18:30,19:45,
Ashtanga Basic,Ashtanga 中级,6,08:30,09:45,
Private class,常规私教课,6,09:30,10:30,
Fine Basic,梵音基础,6,10:00,11:15,
Shoulder & SpineVinyasa,肩颈脊椎流,6,12:00,13:15,
Junior Pilates Sculpt,初级普拉提塑形,6,15:30,16:30,
Pilates (private class),普拉提核心床私教,6,15:45,16:45,
Yin Yoga meditation,内观阴瑜伽,6,17:00,18:15,
Fine Basic,梵音基础,6,18:00,19:15,
None,普拉提私教体验课,6,18:30,19:30,
Shoulder / neck therapy,肩颈理疗,6,18:30,19:45,
