title_en, title_cn, day_num, start_time, end_time
Private experience class,私教体验课,0,06:30,07:30,
Ashtanga Beginner,Ashtanga 基础,0,07:00,08:15,
Hip  shoulder opening Vinyasa,开肩开胯流,0,08:30,09:45,
Private class,常规私教课,0,09:30,10:30,
Shoulder / neck therapy,肩颈理疗,0,10:00,11:15,
Yin Yoga meditation,内观阴瑜伽,0,11:45,13:00,
Hip  shoulder opening Vinyasa,开肩开胯流,0,12:15,13:30,
Private class,常规私教课,0,13:00,14:00,
Private class,常规私教课,0,14:30,15:30,
Private class (for two participants),双人私教,0,16:00,17:00,
Private class,常规私教课,0,16:00,17:00,
Private class,常规私教课,0,16:05,17:05,
Shoulder & SpineVinyasa,肩颈脊椎流,0,18:00,19:15,
Private class,常规私教课,0,18:15,19:15,
cardio sculpt,明星有氧塑形,0,18:30,19:30,
Private class,常规私教课,0,18:45,19:45,
Fine Basic,梵音基础,0,19:00,20:15,
Hip  shoulder opening Vinyasa,开肩开胯流,0,19:30,20:45,
Private class,常规私教课,0,19:30,20:30,
Yoga Sculpt,全面塑形瑜伽,0,19:45,20:45,
Yin Yoga meditation,内观阴瑜伽,0,20:00,21:15,
Private experience class,私教体验课,0,20:00,21:00,
None,精准塑形-小班课（局部塑形）,0,20:20,21:20,
Private class,常规私教课,0,21:20,22:20,
Ashtanga Beginner,Ashtanga 基础,1,07:00,08:15,
Private experience class,私教体验课,1,08:00,09:00,
Shoulder / neck therapy,肩颈理疗,1,08:30,09:45,
Fine Basic,梵音基础,1,10:00,11:15,
Youthful Backbend Vinyasa,年轻态后弯流,1,11:45,13:00,
Fine Basic,梵音基础,1,12:15,13:30,
Private class,常规私教课,1,14:30,15:30,
Shoulder / neck therapy,肩颈理疗,1,15:30,16:45,
Private experience class,私教体验课,1,16:00,17:00,
Private class,常规私教课,1,16:45,17:45,
Private class,常规私教课,1,17:00,18:00,
Hip  shoulder opening Vinyasa,开肩开胯流,1,18:00,19:15,
Hot,热瑜伽,1,18:30,19:30,
Fine Barre,芭蕾塑形,1,19:00,20:00,
Private class,常规私教课,1,19:00,20:00,
Shoulder & SpineVinyasa,肩颈脊椎流,1,19:15,20:30,
Yin Yoga meditation,内观阴瑜伽,1,19:30,20:45,
Private class (for two participants),双人私教,1,19:30,20:30,
Private class,常规私教课,1,20:00,21:00,
None,精准塑形-小班课（局部塑形）,1,20:00,21:00,
Fine Basic,梵音基础,1,20:15,21:30,
Private experience class,私教体验课,1,20:35,21:35,
Private class,常规私教课,2,06:50,07:50,
Ashtanga Beginner,Ashtanga 基础,2,07:00,08:15,
Private class,常规私教课,2,07:00,08:00,
Fine Basic,梵音基础,2,08:30,09:45,
Hip  shoulder opening Vinyasa,开肩开胯流,2,10:00,11:15,
Core Yoga,腰腹塑形瑜伽,2,11:45,12:45,
Private class,常规私教课,2,12:00,13:00,
Shoulder & SpineVinyasa,肩颈脊椎流,2,12:15,13:30,
Private class,常规私教课,2,14:30,15:30,
Ashtanga Beginner,Ashtanga 基础,2,15:30,16:45,
Private class,常规私教课,2,15:30,16:30,
Private class,常规私教课,2,16:10,17:10,
Private class,常规私教课,2,17:00,18:00,
Private class,常规私教课,2,17:28,18:27,
Safe vinyasa inversions,安全倒立流,2,18:00,19:15,
Fine Barre,芭蕾塑形,2,18:30,19:30,
Private class,常规私教课,2,18:45,19:45,
Youthful Backbend Vinyasa,年轻态后弯流,2,19:00,20:15,
Fine Basic,梵音基础,2,19:30,20:45,
Yin Yoga meditation,内观阴瑜伽,2,19:30,20:45,
Private class,常规私教课,2,19:50,20:50,
Shoulder / neck therapy,肩颈理疗,2,20:00,21:15,
Private class,常规私教课,2,20:16,21:15,
None,精准塑形-小班课（局部塑形）,2,20:20,21:20,
Ashtanga Beginner,Ashtanga 基础,3,07:00,08:15,
Hip  shoulder opening Vinyasa,开肩开胯流,3,08:30,09:45,
Shoulder & SpineVinyasa,肩颈脊椎流,3,10:00,11:15,
Fine Basic,梵音基础,3,11:45,13:00,
Junior Pilates Sculpt,初级普拉提塑形,3,12:15,13:15,
Private class (for two participants),双人私教,3,14:00,15:00,
Hip  shoulder opening Vinyasa,开肩开胯流,3,15:30,16:45,
Private class,常规私教课,3,16:00,17:00,
Private class,常规私教课,3,17:30,18:30,
Core Yoga,腰腹塑形瑜伽,3,18:00,19:00,
Private class,常规私教课,3,18:00,19:00,
Private class,常规私教课,3,18:00,19:00,
Hot,热瑜伽,3,18:30,19:30,
Hip  shoulder opening Vinyasa,开肩开胯流,3,19:00,20:15,
Private class,常规私教课,3,19:00,20:00,
Ashtanga Beginner,Ashtanga 基础,3,19:15,20:30,
Shoulder / neck therapy,肩颈理疗,3,19:30,20:45,
Yin Yoga meditation,内观阴瑜伽,3,20:15,21:30,
None,精准塑形-小班课（局部塑形）,3,20:20,21:20,
Ashtanga Beginner,Ashtanga 基础,4,07:00,08:15,
Shoulder / neck therapy,肩颈理疗,4,08:30,09:45,
Private class,常规私教课,4,09:00,10:00,
Private class,常规私教课,4,09:30,10:30,
Hip  shoulder opening Vinyasa,开肩开胯流,4,10:00,11:15,
Yin Yoga meditation,内观阴瑜伽,4,11:45,13:00,
Fine Basic,梵音基础,4,12:15,13:30,
Private class,常规私教课,4,14:30,15:30,
Shoulder / neck therapy,肩颈理疗,4,15:30,16:45,
Private class,常规私教课,4,16:45,17:45,
Private class,常规私教课,4,17:30,18:30,
FineYoga meditation,梵音瑜伽冥想,4,18:00,19:15,
Private class,常规私教课,4,18:15,19:15,
Junior Pilates Sculpt,初级普拉提塑形,4,18:30,19:30,
Fine Basic,梵音基础,4,19:00,20:15,
Shoulder & SpineVinyasa,肩颈脊椎流,4,19:15,20:30,
Private class,常规私教课,4,19:30,20:30,
Yoga Sculpt,全面塑形瑜伽,4,19:30,20:30,
Private class,常规私教课,4,19:30,20:30,
Yin Yoga meditation,内观阴瑜伽,4,20:00,21:15,
Private class,常规私教课,4,20:20,21:20,
None,精准塑形-小班课（局部塑形）,4,20:20,21:20,
Private class,常规私教课,5,09:45,10:45,
Ashtanga Beginner,Ashtanga 基础,5,10:00,11:15,
Private class,常规私教课,5,11:30,12:30,
Hip  shoulder opening Vinyasa,开肩开胯流,5,11:45,13:00,
Shoulder & SpineVinyasa,肩颈脊椎流,5,12:15,13:30,
Shoulder & SpineVinyasa,肩颈脊椎流,5,15:30,16:45,
Private class,常规私教课,5,16:00,17:00,
Private class (for two participants),双人私教,5,17:00,18:00,
Fine Basic,梵音基础,5,18:00,19:15,
Hot,热瑜伽,5,18:30,19:30,
Safe vinyasa inversions,安全倒立流,5,19:00,20:15,
Private class,常规私教课,5,19:00,20:00,
Core Yoga,腰腹塑形瑜伽,5,19:15,20:15,
Junior Pilates Sculpt,初级普拉提塑形,5,19:30,20:30,
None,精准塑形-小班课（局部塑形）,5,20:00,21:00,
Private class,常规私教课,6,09:30,10:30,
Ashtanga Beginner,Ashtanga 基础,6,10:00,11:15,
Private class,常规私教课,6,10:45,11:45,
Hip  shoulder opening Vinyasa,开肩开胯流,6,11:45,13:00,
Fine Basic,梵音基础,6,12:15,13:30,
Private class,常规私教课,6,14:20,15:20,
Fine Basic,梵音基础,6,15:30,16:45,
None,普拉提私教体验课,6,15:30,16:30,
Private class,常规私教课,6,17:30,18:30,
Core Yoga,腰腹塑形瑜伽,6,18:00,19:00,
Yin Yoga meditation,内观阴瑜伽,6,18:30,19:45,
Hot,热瑜伽,6,19:00,20:00,
Ashtanga Beginner,Ashtanga 基础,6,19:15,20:30,
Fine Basic,梵音基础,6,19:30,20:45,
None,精准塑形-小班课（局部塑形）,6,20:00,21:00,
