title_en, title_cn, day_num, start_time, end_time
Hip  shoulder opening Vinyasa,开肩开胯流,3,07:00,08:15,
Private class,常规私教课,3,08:00,09:00,
Private class,常规私教课,3,08:30,09:30,
Safe vinyasa inversions,安全倒立流,3,09:30,10:45,
Private class,常规私教课,3,09:40,10:40,
Private class,常规私教课,3,10:00,11:00,
Private class,常规私教课,3,10:50,11:50,
Dong Dong back knee therapy,东东理疗—腰膝,3,12:15,13:30,
Hip  shoulder opening Vinyasa,开肩开胯流,3,14:00,15:15,
Private class,常规私教课,3,14:00,15:00,
Private class,常规私教课,3,14:30,15:30,
Private experience class,私教体验课,3,15:01,15:59,
Post-natal,孕产私教,3,15:10,16:10,
Shoulder / neck therapy,肩颈理疗,3,15:30,16:45,
Family Yoga,亲子瑜伽,3,15:30,16:30,
Private class,常规私教课,3,16:00,17:00,
Private class,常规私教课,3,16:40,17:40,
Post-natal,孕产私教,3,17:30,18:30,
Private class,常规私教课,3,17:50,18:50,
Shoulder / neck therapy,肩颈理疗,3,18:45,20:00,
Ashtanga Basic,Ashtanga 中级,3,18:45,20:00,
Private class,常规私教课,3,19:00,20:00,
Private class,常规私教课,3,19:35,20:35,
Private class,常规私教课,3,20:05,20:50,
Private class,常规私教课,3,20:10,21:10,
FineYoga meditation,梵音瑜伽冥想,3,20:15,21:30,
Private class,常规私教课,3,20:15,21:15,
Private class,常规私教课,3,20:51,21:35,
Ashtanga Beginner,Ashtanga 基础,4,07:00,08:15,
Post-natal,孕产私教,4,07:00,08:00,
Private class,常规私教课,4,09:00,10:00,
Private class,常规私教课,4,09:00,10:00,
Fine Basic,梵音基础,4,10:30,11:45,
Private class,常规私教课,4,11:00,12:00,
Junior Pilates Sculpt,初级普拉提塑形,4,12:15,13:15,
Youthful Backbend Vinyasa,年轻态后弯流,4,12:30,13:45,
Pilates (private class),普拉提核心床私教,4,14:00,15:00,
Shoulder / neck therapy,肩颈理疗,4,14:00,15:15,
Post-natal,孕产私教,4,14:00,15:00,
Private class,常规私教课,4,14:00,15:00,
Private class,常规私教课,4,15:00,16:00,
Post-natal,孕产私教,4,15:10,16:10,
Private class,常规私教课,4,15:20,16:20,
Private class,常规私教课,4,15:30,16:30,
Dong Dong back knee therapy,东东理疗—腰膝,4,16:30,17:45,
Private class,常规私教课,4,17:00,18:00,
Private class,常规私教课,4,17:00,18:00,
Ashtanga Beginner,Ashtanga 基础,4,18:15,19:30,
Fine Basic,梵音基础,4,18:45,20:00,
Private class,常规私教课,4,19:00,20:00,
Hip  shoulder opening Vinyasa,开肩开胯流,4,19:45,21:00,
Private class,常规私教课,4,20:10,21:10,
Yin Yoga meditation,内观阴瑜伽,4,20:15,21:30,
Private class,常规私教课,5,08:00,09:00,
Ashtanga Beginner,Ashtanga 基础,5,09:30,10:45,
Shoulder & SpineVinyasa,肩颈脊椎流,5,10:30,11:45,
Private class,常规私教课,5,11:10,12:10,
Hip  shoulder opening Vinyasa,开肩开胯流,5,12:15,13:30,
Shoulder / neck therapy,肩颈理疗,5,12:30,13:45,
Private class,常规私教课,5,13:50,14:50,
Safe vinyasa inversions,安全倒立流,5,14:00,15:15,
Private class,常规私教课,5,14:00,15:00,
Pilates (private class),普拉提核心床私教,5,15:00,16:00,
Private class,常规私教课,5,15:01,16:00,
Private class,常规私教课,5,15:16,16:15,
Core Yoga,腰腹塑形瑜伽,5,15:30,16:30,
Private class,常规私教课,5,16:10,16:55,
Fine Basic,梵音基础,5,16:30,17:45,
Private class,常规私教课,5,16:31,17:30,
Private class,常规私教课,5,16:56,17:40,
Shoulder & SpineVinyasa,肩颈脊椎流,5,18:00,19:15,
Private class,常规私教课,5,18:00,19:00,
Ashtanga Basic,Ashtanga 中级,5,18:30,19:45,
Private class,常规私教课,5,19:00,20:00,
FineYoga meditation,梵音瑜伽冥想,5,19:45,21:00,
Private class,常规私教课,5,20:10,21:10,
Private class,常规私教课,6,08:00,09:00,
Safe vinyasa inversions,安全倒立流,6,09:30,10:45,
Private class,常规私教课,6,09:30,10:30,
Private class,常规私教课,6,09:50,10:50,
Junior Pilates Sculpt,初级普拉提塑形,6,10:30,11:45,
Private class,常规私教课,6,10:30,11:30,
Family Yoga,亲子瑜伽,6,11:00,12:00,
Private class,常规私教课,6,11:00,12:00,
Private class,常规私教课,6,12:15,13:15,
Shoulder / neck therapy,肩颈理疗,6,12:15,13:30,
Pre-natal,孕产瑜伽,6,14:00,15:00,
cardio sculpt,明星有氧塑形,6,14:00,15:00,
Shoulder / neck therapy,肩颈理疗,6,15:30,16:45,
None,普拉提私教体验课,6,15:45,16:45,
Hip  shoulder opening Vinyasa,开肩开胯流,6,16:30,17:45,
FineYoga meditation,梵音瑜伽冥想,6,18:00,19:15,
Ashtanga Beginner,Ashtanga 基础,6,18:00,20:15,
Private class,常规私教课,6,18:00,19:00,
Hot,热瑜伽,6,19:30,20:30,
