title_en, title_cn, day_num, start_time, end_time
Ashtanga Basic,Ashtanga 中级,0,07:00,08:15,
None,普拉提私教体验课,0,08:00,09:00,
Private class,常规私教课,0,08:30,09:30,
Private class,常规私教课,0,09:40,10:40,
Private class,常规私教课,0,10:00,11:00,
Shoulder & SpineVinyasa,肩颈脊椎流,0,10:30,11:45,
Private class,常规私教课,0,10:30,11:30,
Private class,常规私教课,0,11:00,11:59,
Yin Yoga meditation,内观阴瑜伽,0,12:00,13:15,
Core Yoga,腰腹塑形瑜伽,0,12:30,13:30,
Fine Basic,梵音基础,0,14:00,15:15,
Post-natal,孕产私教,0,14:00,15:00,
Private experience class,私教体验课,0,14:00,15:00,
Private class,常规私教课,0,14:30,15:30,
Private class,常规私教课,0,15:40,16:40,
Private class,常规私教课,0,15:55,16:55,
Post-natal,孕产私教,0,16:00,17:00,
Private class,常规私教课,0,16:56,17:55,
Pilates (private class),普拉提核心床私教,0,17:00,18:00,
Junior Pilates Sculpt,初级普拉提塑形,0,17:00,18:00,
Dong Dong back knee therapy,东东理疗—腰膝,0,17:30,18:45,
Ashtanga Beginner,Ashtanga 基础,0,18:45,20:00,
Private class,常规私教课,0,18:45,19:45,
Private class,常规私教课,0,19:00,20:00,
Hip  shoulder opening Vinyasa,开肩开胯流,0,19:15,20:30,
Yin Yoga meditation,内观阴瑜伽,0,20:15,21:30,
Shoulder / neck therapy,肩颈理疗,1,07:00,08:15,
Private class,常规私教课,1,08:30,09:30,
Fine Basic,梵音基础,1,09:00,10:15,
Private class,常规私教课,1,10:00,11:00,
Hip  shoulder opening Vinyasa,开肩开胯流,1,11:45,13:00,
Hot,热瑜伽,1,12:00,13:00,
cardio sculpt,明星有氧塑形,1,12:15,13:15,
Private class,常规私教课,1,12:50,13:50,
Hip  shoulder opening Vinyasa,开肩开胯流,1,13:30,14:45,
Pilates (private class),普拉提核心床私教,1,13:30,14:30,
Private class,常规私教课,1,13:30,14:30,
Private class,常规私教课,1,14:00,14:59,
Private class,常规私教课,1,14:00,14:59,
Private class,常规私教课,1,15:00,16:00,
Fine Basic,梵音基础,1,15:00,16:15,
Post-natal,孕产私教,1,15:00,15:59,
Post-natal,孕产私教,1,15:10,16:09,
Private class,常规私教课,1,16:01,17:00,
Private class,常规私教课,1,16:10,17:10,
Private class,常规私教课,1,16:40,17:40,
Yin Yoga meditation,内观阴瑜伽,1,17:15,18:30,
Post-natal,孕产私教,1,17:30,18:30,
Private class,常规私教课,1,17:50,18:50,
Junior Pilates Sculpt,初级普拉提塑形,1,18:00,19:00,
Ashtanga Basic,Ashtanga 中级,1,18:45,20:00,
Private class,常规私教课,1,19:00,20:00,
Private class,常规私教课,1,19:00,19:59,
Private class,常规私教课,1,19:00,20:00,
Fine Basic,梵音基础,1,19:30,20:45,
Private class,常规私教课,1,20:10,21:10,
Private class,常规私教课,1,20:10,21:10,
Shoulder / neck therapy,肩颈理疗,1,20:15,21:30,
Private class,常规私教课,1,20:15,21:15,
Ashtanga Beginner,Ashtanga 基础,2,07:00,08:15,
Private class,常规私教课,2,08:00,09:00,
Private class,常规私教课,2,08:30,09:30,
Private class,常规私教课,2,10:00,11:00,
cardio sculpt,明星有氧塑形,2,10:30,11:30,
Shoulder & SpineVinyasa,肩颈脊椎流,2,11:45,13:00,
Private class,常规私教课,2,12:00,13:00,
Ashtanga Basic,Ashtanga 中级,2,12:15,13:30,
Fine Barre,芭蕾塑形,2,13:15,14:15,
Private class,常规私教课,2,14:30,15:30,
FineYoga meditation,梵音瑜伽冥想,2,15:30,16:45,
Pilates (private class),普拉提核心床私教,2,16:15,17:15,
Private class,常规私教课,2,17:00,18:00,
Private class,常规私教课,2,17:30,18:30,
Hip  shoulder opening Vinyasa,开肩开胯流,2,18:45,20:00,
Private class,常规私教课,2,18:45,19:45,
Private class,常规私教课,2,19:00,20:00,
Post-natal,孕产私教,2,20:01,21:00,
Fine Basic,梵音基础,2,20:15,21:30,
Pilates (private class),普拉提核心床私教,2,20:30,21:30,
Private class,常规私教课,2,20:30,21:30,
