title_en, title_cn, day_num, start_time, end_time
Ashtanga Beginner,Ashtanga 基础,0,07:00,08:15,
Dong Dong back knee therapy,东东理疗—腰膝,0,08:30,09:45,
Private class,常规私教课,0,08:30,09:30,
Private class,常规私教课,0,09:15,10:15,
Private class,常规私教课,0,09:30,10:30,
Private class,常规私教课,0,10:00,11:00,
Core Yoga,腰腹塑形瑜伽,0,10:30,11:30,
Private class,常规私教课,0,10:31,11:31,
Shoulder & SpineVinyasa,肩颈脊椎流,0,11:45,13:00,
Private class,常规私教课,0,11:50,12:50,
Private class,常规私教课,0,12:00,13:00,
Fine Basic,梵音基础,0,12:15,13:30,
Private class,常规私教课,0,13:00,14:00,
Pilates (private class),普拉提核心床私教,0,13:30,14:30,
Private experience class,私教体验课,0,14:00,15:00,
Private class,常规私教课,0,14:00,15:00,
Pilates (private class),普拉提核心床私教,0,14:01,15:01,
Shoulder & SpineVinyasa,肩颈脊椎流,0,14:20,15:35,
Private class,常规私教课,0,14:31,15:31,
Hip  shoulder opening Vinyasa,开肩开胯流,0,15:45,17:00,
Private class,常规私教课,0,16:00,17:00,
FineYoga meditation,梵音瑜伽冥想,0,17:30,18:45,
Ashtanga Beginner,Ashtanga 基础,0,18:00,19:15,
Private class,常规私教课,0,18:00,19:00,
Yoga Sculpt,全面塑形瑜伽,0,18:30,19:30,
Private experience class,私教体验课,0,18:30,19:30,
Private class,常规私教课,0,19:30,20:30,
Fine Basic,梵音基础,0,20:00,21:15,
Fine Basic,梵音基础,1,07:00,08:15,
Pilates Reformer,普拉提核心床（小班课）,1,08:00,09:00,
Shoulder / neck therapy,肩颈理疗,1,09:00,10:15,
Private class,常规私教课,1,09:30,10:30,
Private class,常规私教课,1,10:00,11:00,
Private experience class,私教体验课,1,10:15,11:15,
Fine Basic,梵音基础,1,10:30,11:45,
Private class,常规私教课,1,10:30,11:30,
Pilates Reformer,普拉提核心床（小班课）,1,10:45,11:45,
Hip  shoulder opening Vinyasa,开肩开胯流,1,11:45,13:00,
Yoga Sculpt,全面塑形瑜伽,1,12:15,13:15,
Pilates (private class),普拉提核心床私教,1,14:00,15:00,
Dong Dong back knee therapy,东东理疗—腰膝,1,14:20,15:35,
Private class,常规私教课,1,15:30,16:30,
Youthful Backbend Vinyasa,年轻态后弯流,1,15:45,17:00,
Hip  shoulder opening Vinyasa,开肩开胯流,1,17:30,18:45,
Private class,常规私教课,1,18:00,19:00,
Ashtanga Beginner,Ashtanga 基础,1,18:00,19:15,
Hot,热瑜伽,1,18:30,19:30,
Private class,常规私教课,1,18:30,19:30,
Private class,常规私教课,1,19:00,20:00,
Private class,常规私教课,1,19:05,20:05,
Yin Yoga meditation,内观阴瑜伽,1,19:20,20:35,
Private class,常规私教课,1,19:30,20:30,
Private class,常规私教课,1,19:35,20:35,
Shoulder / neck therapy,肩颈理疗,1,20:00,21:15,
Private class,常规私教课,1,20:06,21:06,
Private class,常规私教课,1,20:20,21:50,
Ashtanga Beginner,Ashtanga 基础,2,07:00,08:15,
Private class,常规私教课,2,08:00,09:00,
Private class,常规私教课,2,08:00,09:00,
Fine Basic,梵音基础,2,08:30,09:45,
Private class,常规私教课,2,08:30,09:30,
Pilates (private class),普拉提核心床私教,2,09:15,10:15,
Private class,常规私教课,2,09:30,10:30,
Private class,常规私教课,2,10:01,11:01,
Yoga Sculpt,全面塑形瑜伽,2,10:30,11:30,
Private class,常规私教课,2,10:45,11:44,
Private class,常规私教课,2,10:49,11:49,
Private class,常规私教课,2,11:00,12:00,
Shoulder / neck therapy,肩颈理疗,2,11:45,13:00,
Private experience class,私教体验课,2,11:45,12:45,
Private class,常规私教课,2,11:45,12:45,
Private class,常规私教课,2,11:50,12:50,
Private class,常规私教课,2,12:02,13:02,
Hip  shoulder opening Vinyasa,开肩开胯流,2,12:15,13:30,
Private class,常规私教课,2,13:00,14:00,
Pilates (private class),普拉提核心床私教,2,13:30,14:30,
Pilates (private class),普拉提核心床私教,2,14:00,15:00,
Pre-natal,孕产瑜伽,2,14:20,15:35,
Private class,常规私教课,2,15:00,16:00,
Ashtanga Beginner,Ashtanga 基础,2,15:45,17:00,
Private class,常规私教课,2,17:20,18:20,
Fine Basic,梵音基础,2,17:45,19:00,
Shoulder / neck therapy,肩颈理疗,2,18:00,19:15,
Private class,常规私教课,2,18:05,19:05,
Hip  shoulder opening Vinyasa,开肩开胯流,2,18:30,19:45,
Private experience class,私教体验课,2,19:06,20:06,
Shoulder / neck therapy,肩颈理疗,2,19:20,20:35,
Private class,常规私教课,2,19:30,20:30,
Dong Dong back knee therapy,东东理疗—腰膝,2,20:00,21:15,
Private class (for two participants),双人私教,2,20:00,21:00,
Private class,常规私教课,2,20:07,21:07,
Ashtanga Beginner,Ashtanga 基础,3,07:00,08:15,
Private class,常规私教课,3,08:30,09:30,
Shoulder & SpineVinyasa,肩颈脊椎流,3,09:00,10:15,
Private class,常规私教课,3,09:00,10:00,
Private class,常规私教课,3,09:30,10:30,
Private class,常规私教课,3,09:30,10:30,
Private class,常规私教课,3,10:01,11:01,
Hip  shoulder opening Vinyasa,开肩开胯流,3,10:30,11:45,
Pilates (private class),普拉提核心床私教,3,10:45,11:45,
Yin Yoga meditation,内观阴瑜伽,3,11:45,13:00,
Private class,常规私教课,3,11:50,12:50,
Private experience class,私教体验课,3,12:00,13:00,
Fine Basic,梵音基础,3,12:15,13:30,
Pilates (private class),普拉提核心床私教,3,14:00,15:00,
Pilates (private class),普拉提核心床私教,3,14:00,15:00,
Dong Dong back knee therapy,东东理疗—腰膝,3,14:20,15:35,
Fine Basic,梵音基础,3,15:45,17:00,
Fine Barre,芭蕾塑形,3,17:00,18:00,
Pilates (private class),普拉提核心床私教,3,17:45,18:45,
Private class,常规私教课,3,18:00,19:00,
Hip  shoulder opening Vinyasa,开肩开胯流,3,18:00,19:15,
Private class,常规私教课,3,18:00,19:00,
Private class,常规私教课,3,18:00,19:00,
cardio sculpt,明星有氧塑形,3,18:30,19:30,
Private class,常规私教课,3,19:00,20:00,
Yin Yoga meditation,内观阴瑜伽,3,19:20,20:35,
Shoulder / neck therapy,肩颈理疗,3,20:00,21:15,
Private class,常规私教课,3,20:00,21:00,
Ashtanga Beginner,Ashtanga 基础,4,07:00,08:15,
Hip  shoulder opening Vinyasa,开肩开胯流,4,08:30,09:45,
Private class,常规私教课,4,08:30,09:30,
Private class,常规私教课,4,09:30,10:30,
Private class,常规私教课,4,09:30,10:30,
Private class,常规私教课,4,09:31,10:31,
Fine Basic,梵音基础,4,10:30,11:45,
Private class,常规私教课,4,10:45,11:45,
Private class,常规私教课,4,11:00,12:00,
Hip  shoulder opening Vinyasa,开肩开胯流,4,11:45,13:00,
Private class,常规私教课,4,11:45,12:45,
Private class,常规私教课,4,12:00,13:00,
Shoulder / neck therapy,肩颈理疗,4,12:15,13:30,
Private class,常规私教课,4,13:00,14:00,
Private class,常规私教课,4,13:30,14:30,
Pilates (private class),普拉提核心床私教,4,14:00,15:00,
Fine Basic,梵音基础,4,14:20,15:35,
Private class,常规私教课,4,15:00,16:00,
Private class,常规私教课,4,15:00,16:00,
Ashtanga Beginner,Ashtanga 基础,4,15:45,17:00,
Private class,常规私教课,4,17:00,18:00,
Dong Dong back knee therapy,东东理疗—腰膝,4,17:30,18:45,
Private class,常规私教课,4,17:55,18:55,
Fine Basic,梵音基础,4,18:00,19:15,
Private class,常规私教课,4,18:05,19:05,
Yoga Sculpt,全面塑形瑜伽,4,18:30,19:30,
Pilates (private class),普拉提核心床私教,4,19:00,20:00,
Private class,常规私教课,4,19:00,20:00,
FineYoga meditation,梵音瑜伽冥想,4,19:20,20:35,
Private class,常规私教课,4,19:30,20:30,
Fine Basic,梵音基础,4,20:00,21:15,
Ashtanga Beginner,Ashtanga 基础,5,07:00,08:15,
Shoulder / neck therapy,肩颈理疗,5,08:30,09:45,
Private class,常规私教课,5,08:45,09:45,
Hip  shoulder opening Vinyasa,开肩开胯流,5,10:30,11:45,
Safe vinyasa inversions,安全倒立流,5,12:00,13:15,
Private class,常规私教课,5,12:00,13:00,
Fine Basic,梵音基础,5,12:15,13:30,
Pilates (private class),普拉提核心床私教,5,14:00,15:00,
Hip  shoulder opening Vinyasa,开肩开胯流,5,14:20,15:35,
Shoulder & SpineVinyasa,肩颈脊椎流,5,15:45,17:00,
Private class,常规私教课,5,16:00,17:00,
Pilates (private class),普拉提核心床私教,5,16:30,17:30,
Shoulder / neck therapy,肩颈理疗,5,17:30,18:45,
Youthful Backbend Vinyasa,年轻态后弯流,5,18:00,19:15,
Fine Basic,梵音基础,5,18:30,19:45,
Hot,热瑜伽,5,19:20,20:20,
Ashtanga Beginner,Ashtanga 基础,6,07:00,08:15,
Shoulder & SpineVinyasa,肩颈脊椎流,6,08:15,09:30,
Pilates (private class),普拉提核心床私教,6,08:27,09:00,
Pilates (private class),普拉提核心床私教,6,09:15,10:15,
Private class,常规私教课,6,09:15,10:15,
Fine Basic,梵音基础,6,10:30,11:45,
Private class,常规私教课,6,10:30,11:30,
Hip  shoulder opening Vinyasa,开肩开胯流,6,11:45,13:00,
Pilates (private class),普拉提核心床私教,6,12:00,13:00,
Shoulder / neck therapy,肩颈理疗,6,12:15,13:30,
Pilates (private class),普拉提核心床私教,6,14:00,15:00,
Shoulder & SpineVinyasa,肩颈脊椎流,6,14:20,15:35,
Fine Barre,芭蕾塑形,6,15:45,16:45,
Private class,常规私教课,6,16:00,17:00,
Hip  shoulder opening Vinyasa,开肩开胯流,6,17:30,18:45,
Ashtanga Beginner,Ashtanga 基础,6,18:00,19:15,
Dong Dong back knee therapy,东东理疗—腰膝,6,18:30,19:45,
Private class,常规私教课,6,19:00,20:00,
Shoulder / neck therapy,肩颈理疗,6,19:20,20:35,
